                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.44191,                0.47774,                 1.0013,                0.91329,                0.83849,                0.92329,                0.83663,                 0.4701,                0.54365,                0.95957,             0.00019213,             0.00019213,             0.00019213
                     37,                0.42631,                0.46496,                0.99261,                0.89707,                0.86231,                0.92589,                 0.8427,                0.45433,                0.52796,                0.94979,             0.00018922,             0.00018922,             0.00018922
                     38,                0.42113,                0.45499,                 0.9905,                 0.8767,                0.86406,                0.92636,                0.83922,                0.47012,                0.52777,                0.96196,             0.00018631,             0.00018631,             0.00018631
                     39,                0.42453,                 0.4468,                0.98985,                0.89706,                0.86128,                0.92966,                0.84543,                0.46643,                0.52539,                  0.955,              0.0001834,              0.0001834,              0.0001834
                     40,                0.41744,                0.43732,                 0.9881,                0.90746,                0.83244,                 0.9234,                0.84162,                0.46566,                0.56085,                0.96088,             0.00018049,             0.00018049,             0.00018049
                     41,                0.42367,                0.44324,                  0.987,                0.89282,                0.86514,                0.92946,                0.84767,                0.46195,                0.51037,                0.94863,             0.00017758,             0.00017758,             0.00017758
                     42,                0.42207,                0.42607,                0.98634,                0.90878,                0.86087,                0.93164,                 0.8508,                 0.4545,                0.50961,                0.94314,             0.00017467,             0.00017467,             0.00017467
                     43,                0.41958,                0.43154,                0.98678,                 0.9013,                0.84857,                0.92899,                0.84836,                0.45576,                0.53007,                0.94563,             0.00017175,             0.00017175,             0.00017175
                     44,                0.41763,                0.42231,                0.98707,                 0.9161,                0.84315,                0.92247,                0.83868,                0.46938,                0.54439,                0.96223,             0.00016884,             0.00016884,             0.00016884
                     45,                0.41363,                0.40975,                0.98297,                0.89907,                0.84541,                0.91954,                0.83751,                0.45689,                0.56356,                0.94803,             0.00016593,             0.00016593,             0.00016593
                     46,                0.40379,                0.42126,                 0.9767,                0.88397,                0.87893,                0.92779,                 0.8475,                0.46392,                0.53668,                0.95411,             0.00016302,             0.00016302,             0.00016302
                     47,                0.40701,                0.40834,                0.97958,                0.88825,                0.87015,                 0.9307,                0.84975,                0.45404,                0.51386,                0.94161,             0.00016011,             0.00016011,             0.00016011
                     48,                0.40909,                0.40333,                0.97767,                0.91248,                0.84394,                0.93123,                0.85173,                0.45447,                 0.5099,                 0.9458,              0.0001572,              0.0001572,              0.0001572
                     49,                0.40209,                0.39883,                0.97685,                0.91743,                0.85108,                0.92672,                0.84743,                0.45511,                0.52913,                0.95213,             0.00015429,             0.00015429,             0.00015429
                     50,                0.39968,                0.40343,                0.97357,                0.87461,                0.87643,                0.92608,                0.84625,                0.45508,                0.53418,                0.94183,             0.00015138,             0.00015138,             0.00015138
                     51,                0.39302,                0.38762,                0.96824,                0.89469,                0.86311,                 0.9291,                0.85166,                0.45046,                0.52774,                0.94474,             0.00014847,             0.00014847,             0.00014847
                     52,                0.39082,                0.38435,                0.96822,                0.89415,                0.87735,                0.92581,                0.84902,                0.45285,                0.53106,                 0.9459,             0.00014556,             0.00014556,             0.00014556
                     53,                0.39722,                0.38818,                0.97266,                0.92217,                0.85591,                0.93153,                0.85393,                 0.4521,                0.49894,                0.94236,             0.00014265,             0.00014265,             0.00014265
                     54,                0.38863,                0.37469,                0.96545,                 0.9176,                0.86457,                0.93207,                0.85963,                0.44371,                0.51638,                0.93694,             0.00013974,             0.00013974,             0.00013974
                     55,                0.39405,                0.37754,                0.96939,                0.88614,                0.87967,                0.93274,                0.85668,                 0.4484,                  0.506,                0.93913,             0.00013683,             0.00013683,             0.00013683
                     56,                0.38557,                0.37368,                0.97086,                  0.915,                0.86459,                0.93483,                0.85603,                0.43654,                0.49738,                0.93191,             0.00013392,             0.00013392,             0.00013392
                     57,                0.38277,                 0.3647,                0.96301,                0.90043,                0.87263,                0.93347,                0.85845,                0.43865,                0.50262,                  0.933,             0.00013101,             0.00013101,             0.00013101
                     58,                0.38844,                0.37111,                0.96801,                 0.9177,                 0.8625,                0.93236,                 0.8579,                0.43772,                0.50999,                0.93165,              0.0001281,              0.0001281,              0.0001281
                     59,                 0.3781,                0.35979,                0.96404,                0.92116,                0.85036,                0.93222,                0.85813,                 0.4388,                0.50365,                0.93298,             0.00012519,             0.00012519,             0.00012519
                     60,                0.37661,                0.35502,                0.95971,                 0.9142,                0.87142,                0.93739,                0.85904,                0.44629,                0.48498,                0.94215,             0.00012227,             0.00012227,             0.00012227
                     61,                0.38213,                0.35558,                0.96275,                0.89221,                0.88358,                  0.936,                0.86063,                 0.4474,                0.49526,                0.94323,             0.00011936,             0.00011936,             0.00011936
                     62,                0.37332,                0.35231,                0.95978,                0.88258,                0.89179,                0.93714,                0.86219,                 0.4443,                0.50504,                0.93911,             0.00011645,             0.00011645,             0.00011645
                     63,                0.38051,                0.35668,                0.96584,                0.88983,                0.88151,                0.93163,                 0.8584,                0.43636,                 0.4884,                0.93211,             0.00011354,             0.00011354,             0.00011354
                     64,                0.37028,                0.34197,                0.95896,                0.91471,                0.87202,                0.93273,                0.85839,                0.44612,                0.51307,                0.94284,             0.00011063,             0.00011063,             0.00011063
                     65,                0.37442,                0.34622,                0.96036,                0.90991,                0.87602,                0.93271,                 0.8607,                0.44437,                 0.5103,                0.94033,             0.00010772,             0.00010772,             0.00010772
                     66,                0.36462,                0.33429,                0.95398,                0.91265,                0.87948,                0.93503,                0.86062,                0.43916,                0.47701,                0.94133,             0.00010481,             0.00010481,             0.00010481
                     67,                0.36667,                0.33239,                0.95619,                0.90953,                0.87576,                0.93306,                0.86229,                0.44391,                0.49096,                0.93439,              0.0001019,              0.0001019,              0.0001019
                     68,                0.36468,                0.33023,                0.95205,                0.91204,                0.88294,                0.93869,                0.86569,                0.43821,                0.47695,                0.93205,              9.899e-05,              9.899e-05,              9.899e-05
                     69,                0.36564,                0.33306,                0.95723,                0.90791,                0.86559,                0.93389,                0.86021,                0.44216,                 0.4921,                0.93584,             9.6079e-05,             9.6079e-05,             9.6079e-05
                     70,                 0.3593,                0.32165,                0.95483,                0.91004,                 0.8711,                0.93287,                0.86302,                0.43911,                0.49591,                 0.9291,             9.3169e-05,             9.3169e-05,             9.3169e-05
                     71,                0.36348,                0.32487,                0.95603,                0.91424,                 0.8847,                0.93898,                0.86648,                0.43737,                 0.4736,                0.93034,             9.0258e-05,             9.0258e-05,             9.0258e-05
                     72,                0.35474,                0.32403,                0.94866,                0.90776,                0.87634,                0.93565,                0.86527,                0.42967,                0.48762,                0.92205,             8.7347e-05,             8.7347e-05,             8.7347e-05
                     73,                 0.3575,                0.32554,                 0.9499,                0.91614,                0.87002,                0.93985,                0.86966,                0.43494,                0.47524,                0.93346,             8.4437e-05,             8.4437e-05,             8.4437e-05
                     74,                0.35279,                0.31181,                0.94788,                 0.8974,                0.89284,                0.93805,                0.86813,                0.43208,                0.47353,                0.92553,             8.1526e-05,             8.1526e-05,             8.1526e-05
                     75,                0.35684,                0.31621,                0.95081,                0.92561,                0.85879,                0.93693,                 0.8664,                0.43665,                0.49156,                0.92832,             7.8616e-05,             7.8616e-05,             7.8616e-05
                     76,                0.35197,                0.31537,                0.94676,                 0.9209,                0.87388,                0.94014,                0.86952,                0.43233,                0.47227,                0.92778,             7.5705e-05,             7.5705e-05,             7.5705e-05
                     77,                0.35131,                0.30167,                0.94622,                0.92363,                0.87654,                0.94212,                0.87272,                0.42939,                  0.465,                0.92287,             7.2794e-05,             7.2794e-05,             7.2794e-05
                     78,                0.34829,                0.31386,                0.94823,                0.91548,                0.87726,                0.93948,                0.87005,                0.43028,                0.46387,                0.92686,             6.9884e-05,             6.9884e-05,             6.9884e-05
                     79,                0.34278,                0.30632,                0.94332,                0.89571,                0.89031,                0.93741,                0.86769,                0.43152,                0.47638,                0.92324,             6.6973e-05,             6.6973e-05,             6.6973e-05
